DEBUG 2025-02-11 17:06:52,647 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\uuid.py first seen with mtime 1701976816.0
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\PIL\ImageFilter.py first seen with mtime 1726114120.6824882
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1726123818.9514668
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_enc_zapfdingbats.py first seen with mtime 1726114127.4547403
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\pypdf\pagerange.py first seen with mtime 1726114118.948385
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko\config\__init__.py first seen with mtime 1726114151.9244585
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\django\db\backends\mysql\base.py first seen with mtime 1726123818.9987543
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\PIL\ImageColor.py first seen with mtime 1726114120.6824882
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\graphics\charts\utils3d.py first seen with mtime 1726114127.4340708
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1726123818.958974
DEBUG 2025-02-11 17:06:52,652 autoreload File E:\django\usssa\venv\Lib\site-packages\cryptography\hazmat\primitives\asymmetric\x448.py first seen with mtime 1726114149.583198
DEBUG 2025-02-11 17:06:52,652 autoreload File E:\django\usssa\venv\Lib\site-packages\PIL\_imaging.cp312-win_amd64.pyd first seen with mtime 1726114120.722611
DEBUG 2025-02-11 17:06:52,652 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko\pdf_utils\rw_common.py first seen with mtime 1726114151.9569237
DEBUG 2025-02-11 17:06:52,652 autoreload File E:\django\usssa\venv\Lib\site-packages\asgiref\local.py first seen with mtime 1726114126.7876384
DEBUG 2025-02-11 17:06:52,653 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\wsgiref\simple_server.py first seen with mtime 1701976816.0
DEBUG 2025-02-11 17:06:52,653 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\pickle.py first seen with mtime 1722967352.0
DEBUG 2025-02-11 17:06:52,653 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\fractions.py first seen with mtime 1722967350.0
DEBUG 2025-02-11 17:06:52,653 autoreload File E:\django\usssa\venv\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1726123817.8998475
DEBUG 2025-02-11 17:06:52,653 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_widths_courierboldoblique.py first seen with mtime 1726114127.457798
DEBUG 2025-02-11 17:06:52,653 autoreload File E:\django\usssa\venv\Lib\site-packages\pypdf\_page_labels.py first seen with mtime 1726114118.9438293
DEBUG 2025-02-11 17:06:52,653 autoreload File E:\django\usssa\venv\Lib\site-packages\PIL\_version.py first seen with mtime 1726114120.7427642
DEBUG 2025-02-11 17:06:52,654 autoreload File E:\django\usssa\venv\Lib\site-packages\sqlparse\sql.py first seen with mtime 1726114118.1075714
DEBUG 2025-02-11 17:06:52,654 autoreload File E:\django\usssa\venv\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1726123819.0236056
DEBUG 2025-02-11 17:06:52,654 autoreload File E:\django\usssa\venv\Lib\site-packages\requests\_internal_utils.py first seen with mtime 1726114127.0582342
DEBUG 2025-02-11 17:06:52,654 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_widths_timesbold.py first seen with mtime 1726114127.457798
DEBUG 2025-02-11 17:06:52,654 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko_certvalidator\fetchers\requests_fetchers\__init__.py first seen with mtime 1726114151.0454679
DEBUG 2025-02-11 17:06:52,654 autoreload File E:\django\usssa\venv\Lib\site-packages\tzlocal\windows_tz.py first seen with mtime 1726114126.9726715
DEBUG 2025-02-11 17:06:52,654 autoreload File E:\django\usssa\venv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1726123819.0185843
DEBUG 2025-02-11 17:06:52,655 autoreload File E:\django\usssa\venv\Lib\site-packages\MySQLdb\_exceptions.py first seen with mtime 1726114124.0074472
DEBUG 2025-02-11 17:06:52,655 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\_adapters.py first seen with mtime 1701976814.0
DEBUG 2025-02-11 17:06:52,655 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\asyncio\taskgroups.py first seen with mtime 1701976814.0
DEBUG 2025-02-11 17:06:52,655 autoreload File E:\django\usssa\venv\Lib\site-packages\django_filters\filters.py first seen with mtime 1726114149.1519144
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\django\middleware\security.py first seen with mtime 1726123819.0590072
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\cryptography\hazmat\primitives\_asymmetric.py first seen with mtime 1726114149.615892
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\django\__init__.py first seen with mtime 1726123817.7522757
DEBUG 2025-02-11 17:06:52,656 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\DLLs\_decimal.pyd first seen with mtime 1722967396.0
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\easy_thumbnails\signal_handlers.py first seen with mtime 1726295028.6716886
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko_certvalidator\name_trees.py first seen with mtime 1726114151.0281787
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\usssa\dashboard\forms.py first seen with mtime 1736250138.1775706
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1726123818.975192
DEBUG 2025-02-11 17:06:52,656 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\locale.py first seen with mtime 1722967352.0
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\pdfbase\pdfmetrics.py first seen with mtime 1726114127.459889
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko\sign\timestamps\api.py first seen with mtime 1726114152.0215232
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\cryptography\hazmat\primitives\keywrap.py first seen with mtime 1726114149.6077712
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\graphics\barcode\usps.py first seen with mtime 1726114127.4274428
DEBUG 2025-02-11 17:06:52,656 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\DLLs\_uuid.pyd first seen with mtime 1722967396.0
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_widths_helveticabold.py first seen with mtime 1726114127.457798
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\chardet\enums.py first seen with mtime 1726114125.612438
DEBUG 2025-02-11 17:06:52,656 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\urllib\error.py first seen with mtime 1701976816.0
DEBUG 2025-02-11 17:06:52,656 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\tokenize.py first seen with mtime 1722967352.0
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko\sign\validation\pdf_embedded.py first seen with mtime 1726114152.0353916
DEBUG 2025-02-11 17:06:52,656 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\queue.py first seen with mtime 1701976814.0
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\pdfbase\rl_codecs.py first seen with mtime 1726114127.459889
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\asn1crypto\parser.py first seen with mtime 1726114116.4927583
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\pypdf\_cmap.py first seen with mtime 1726114118.9375982
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\sqlparse\utils.py first seen with mtime 1726114118.1075714
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\pypdf\_codecs\adobe_glyphs.py first seen with mtime 1726114118.9527416
DEBUG 2025-02-11 17:06:52,656 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\html\entities.py first seen with mtime 1701976814.0
DEBUG 2025-02-11 17:06:52,656 autoreload File E:\django\usssa\venv\Lib\site-packages\django\utils\tree.py first seen with mtime 1726123819.0889885
DEBUG 2025-02-11 17:06:52,661 autoreload File E:\django\usssa\venv\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1726123818.273709
DEBUG 2025-02-11 17:06:52,661 autoreload File E:\django\usssa\venv\Lib\site-packages\MySQLdb\times.py first seen with mtime 1726114124.0124555
DEBUG 2025-02-11 17:06:52,661 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko\pdf_utils\crypt\cred_ser.py first seen with mtime 1726114151.973041
DEBUG 2025-02-11 17:06:52,662 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko\sign\signers\pdf_byterange.py first seen with mtime 1726114152.013524
DEBUG 2025-02-11 17:06:52,662 autoreload File E:\django\usssa\venv\Lib\site-packages\pypdf\_text_extraction\_layout_mode\__init__.py first seen with mtime 1726114118.9543808
DEBUG 2025-02-11 17:06:52,662 autoreload File E:\django\usssa\usssa\dashboard\apps.py first seen with mtime 1735583055.0
DEBUG 2025-02-11 17:06:52,662 autoreload File E:\django\usssa\venv\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1726123818.2787156
DEBUG 2025-02-11 17:06:52,662 autoreload File E:\django\usssa\venv\Lib\site-packages\MySQLdb\_mysql.cp312-win_amd64.pyd first seen with mtime 1726114124.0124555
DEBUG 2025-02-11 17:06:52,663 autoreload File E:\django\usssa\venv\Lib\site-packages\xhtml2pdf\config\httpconfig.py first seen with mtime 1726114154.9664268
DEBUG 2025-02-11 17:06:52,663 autoreload File E:\django\usssa\venv\Lib\site-packages\pycparser\c_parser.py first seen with mtime 1726114120.1925533
DEBUG 2025-02-11 17:06:52,663 autoreload File E:\django\usssa\venv\Lib\site-packages\cryptography\hazmat\__init__.py first seen with mtime 1726114149.6174142
DEBUG 2025-02-11 17:06:52,664 autoreload File E:\django\usssa\venv\Lib\site-packages\colorama\win32.py first seen with mtime 1726114125.0130205
DEBUG 2025-02-11 17:06:52,664 autoreload File E:\django\usssa\venv\Lib\site-packages\asn1crypto\_ordereddict.py first seen with mtime 1726114116.487744
DEBUG 2025-02-11 17:06:52,664 autoreload File E:\django\usssa\venv\Lib\site-packages\pypdf\_codecs\__init__.py first seen with mtime 1726114118.950728
DEBUG 2025-02-11 17:06:52,664 autoreload File E:\django\usssa\venv\Lib\site-packages\PIL\__init__.py first seen with mtime 1726114120.7025542
DEBUG 2025-02-11 17:06:52,664 autoreload File E:\django\usssa\venv\Lib\site-packages\xhtml2pdf\tables.py first seen with mtime 1726114154.9560525
DEBUG 2025-02-11 17:06:52,664 autoreload File E:\django\usssa\venv\Lib\site-packages\easy_thumbnails\files.py first seen with mtime 1726295028.6716886
DEBUG 2025-02-11 17:06:52,664 autoreload File E:\django\usssa\venv\Lib\site-packages\oscrypto\_errors.py first seen with mtime 1726114122.6152935
DEBUG 2025-02-11 17:06:52,664 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\html\parser.py first seen with mtime 1701976814.0
DEBUG 2025-02-11 17:06:52,664 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko\config\local_keys.py first seen with mtime 1726114151.932542
DEBUG 2025-02-11 17:06:52,664 autoreload File E:\django\usssa\venv\Lib\site-packages\qrcode\util.py first seen with mtime 1726114131.0576704
DEBUG 2025-02-11 17:06:52,665 autoreload File E:\django\usssa\venv\Lib\site-packages\oscrypto\_asn1.py first seen with mtime 1726114122.6127796
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1726123818.975192
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\cryptography\hazmat\primitives\hmac.py first seen with mtime 1726114149.5912602
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\django\template\exceptions.py first seen with mtime 1726123819.064397
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\requests\cookies.py first seen with mtime 1726114127.0630054
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1726123818.958974
DEBUG 2025-02-11 17:06:52,666 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\xml\sax\_exceptions.py first seen with mtime 1701976816.0
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\cffi\lock.py first seen with mtime 1726114148.4627056
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\charset_normalizer\models.py first seen with mtime 1726114125.2675197
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\idna\core.py first seen with mtime 1726114124.8081253
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\tinycss2\parser.py first seen with mtime 1726114117.9776628
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\chardet\resultdict.py first seen with mtime 1726114125.623297
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1726123818.8838103
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko\pdf_utils\layout.py first seen with mtime 1726114151.9569237
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_widths_symbol.py first seen with mtime 1726114127.457798
DEBUG 2025-02-11 17:06:52,666 autoreload File E:\django\usssa\venv\Lib\site-packages\xhtml2pdf\charts.py first seen with mtime 1726114154.9427998
